Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
55,,466245.251,4312197.975,2454.365,,-105.38958447,38.95809016,2440.374,Global,0.011,0.010,0.012,0.015,2.134,m,FIX,2024-04-24 15:38:16.0 UTC-06:00,2024-04-24 15:38:19.0 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,154.040,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
56,,466245.096,4312198.131,2454.355,,-105.38958626,38.95809156,2440.365,Global,0.010,0.011,0.012,0.015,2.134,m,FIX,2024-04-24 15:38:34.0 UTC-06:00,2024-04-24 15:38:37.0 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,154.172,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
57,,466244.960,4312198.291,2454.367,,-105.38958784,38.95809300,2440.376,Global,0.010,0.010,0.013,0.014,2.134,m,FIX,2024-04-24 15:38:52.0 UTC-06:00,2024-04-24 15:38:55.0 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,154.322,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
58,,466244.810,4312198.422,2454.333,,-105.38958958,38.95809417,2440.342,Global,0.011,0.010,0.016,0.015,2.134,m,FIX,2024-04-24 15:39:10.8 UTC-06:00,2024-04-24 15:39:13.8 UTC-06:00,16,1.1,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,154.444,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
59,,466244.688,4312198.563,2454.350,,-105.38959099,38.95809544,2440.359,Global,0.010,0.010,0.011,0.015,2.134,m,FIX,2024-04-24 15:39:29.6 UTC-06:00,2024-04-24 15:39:32.6 UTC-06:00,16,1.1,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,154.565,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
60,,466244.480,4312198.678,2454.365,,-105.38959340,38.95809647,2440.374,Global,0.010,0.011,0.012,0.015,2.134,m,FIX,2024-04-24 15:39:47.8 UTC-06:00,2024-04-24 15:39:50.8 UTC-06:00,16,1.1,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,154.661,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
61,,466244.380,4312198.845,2454.352,,-105.38959456,38.95809796,2440.362,Global,0.010,0.010,0.014,0.014,2.134,m,FIX,2024-04-24 15:40:04.2 UTC-06:00,2024-04-24 15:40:07.2 UTC-06:00,16,1.1,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,154.819,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
62,,466244.283,4312199.037,2454.391,,-105.38959569,38.95809969,2440.400,Global,0.010,0.011,0.011,0.015,2.134,m,FIX,2024-04-24 15:40:24.0 UTC-06:00,2024-04-24 15:40:27.0 UTC-06:00,16,1.1,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,154.997,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
63,,466244.189,4312199.242,2454.365,,-105.38959679,38.95810154,2440.375,Global,0.010,0.010,0.011,0.015,2.134,m,FIX,2024-04-24 15:40:41.2 UTC-06:00,2024-04-24 15:40:44.2 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,155.196,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
64,,466244.046,4312199.365,2454.355,,-105.38959845,38.95810264,2440.364,Global,0.010,0.011,0.012,0.015,2.134,m,FIX,2024-04-24 15:40:56.4 UTC-06:00,2024-04-24 15:40:59.4 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,155.313,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
65,,466243.937,4312199.563,2454.324,,-105.38959971,38.95810442,2440.334,Global,0.010,0.011,0.017,0.015,2.134,m,FIX,2024-04-24 15:41:16.2 UTC-06:00,2024-04-24 15:41:19.2 UTC-06:00,16,1.1,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,155.494,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
66,,466243.783,4312199.698,2454.351,,-105.38960150,38.95810563,2440.361,Global,0.011,0.010,0.011,0.015,2.134,m,FIX,2024-04-24 15:41:32.2 UTC-06:00,2024-04-24 15:41:35.2 UTC-06:00,16,1.2,466230.562,4312045.499,2471.539,-105.38974647,38.95671560,2457.547,155.618,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height
