point,easting,northing,elevationj,code
339,4328370.376,988246.719,2407.807,tr
340,4328371.114,988246.391,2407.807,tr
341,4328371.657,988246.117,2407.78,tr
342,4328372.28,988245.837,2407.801,tr
343,4328372.844,988245.551,2407.8,tr
344,4328373.283,988245.374,2407.798,tr
345,4328373.928,988245.048,2407.773,tr
346,4328374.513,988244.821,2407.676,tr
858,4328375.229,988244.56,2407.509,tr
859,4328375.008,988244.599,2407.612,tr
860,4328375.355,988244.497,2407.492,tr
861,4328375.452,988244.46,2407.305,tr
862,4328375.571,988244.425,2407.24,tr
863,4328375.769,988244.343,2407.171,tr
864,4328375.939,988244.252,2407.129,tr
865,4328376.099,988244.186,2407.09,tr
866,4328376.305,988244.091,2407.03,tr
867,4328376.498,988243.988,2407.002,tr
868,4328376.689,988243.926,2406.959,tr
869,4328376.851,988243.789,2407.014,tr
870,4328377.057,988243.741,2407.013,tr
871,4328377.208,988243.635,2407.028,tr
872,4328377.356,988243.555,2407.061,tr
873,4328377.521,988243.491,2407.078,tr
874,4328377.705,988243.407,2407.104,tr
875,4328377.906,988243.337,2407.101,tr
876,4328378.071,988243.24,2407.08,tr
877,4328378.263,988243.148,2407.032,tr
878,4328378.429,988243.086,2406.985,tr
879,4328378.594,988243.044,2406.904,tr
880,4328378.859,988243.012,2406.796,tr
881,4328379.019,988242.937,2406.741,tr
882,4328379.162,988242.773,2406.7,tr
883,4328379.382,988242.693,2406.658,tr
884,4328379.525,988242.589,2406.642,tr
885,4328379.736,988242.542,2406.641,tr
886,4328379.924,988242.429,2406.648,tr
887,4328380.087,988242.326,2406.636,tr
888,4328380.28,988242.237,2406.644,tr
889,4328380.457,988242.156,2406.671,tr
890,4328380.658,988242.147,2406.697,tr
891,4328380.838,988242.063,2406.698,tr
892,4328380.977,988241.872,2406.757,tr
893,4328381.181,988241.862,2406.779,tr
894,4328381.357,988241.766,2406.827,tr
895,4328381.523,988241.664,2406.867,tr
896,4328381.726,988241.59,2406.906,tr
897,4328381.905,988241.504,2406.877,tr
898,4328382.075,988241.403,2406.929,tr
899,4328382.28,988241.327,2406.936,tr
900,4328382.451,988241.237,2406.904,tr
901,4328382.635,988241.157,2406.894,tr
902,4328382.799,988241.048,2406.91,tr
903,4328382.991,988240.953,2406.918,tr
904,4328383.167,988240.88,2406.922,tr
905,4328383.367,988240.81,2406.943,tr
906,4328383.528,988240.708,2406.913,tr
907,4328383.727,988240.62,2406.866,tr
908,4328383.916,988240.532,2406.923,tr
909,4328384.088,988240.467,2406.919,tr
910,4328384.474,988240.327,2406.915,tr
911,4328383.486,988240.68,2406.937,tr
912,4328384.809,988240.116,2406.882,tr
913,4328384.602,988240.224,2406.917,tr
914,4328385.002,988240.047,2406.902,tr
915,4328385.192,988239.983,2406.95,tr
916,4328385.352,988239.891,2406.971,tr
917,4328385.561,988239.794,2406.977,tr
