,index,Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,northing_adj,easting_adj,elevation_adj,geometry
40,40,41,,468381.936,4313372.509,2421.139,,-105.36497844,38.96875387,2407.113,Global,0.012,0.011,0.01,0.016,1.734,m,FIX,RTK,2025-07-11 11:02:47.8 UTC-06:00,2025-07-11 11:02:50.8 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,76.787,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313371.426,468383.024,2417.789,POINT Z (468383.024 4313371.426 2417.789)
41,41,42,,468381.766,4313372.571,2421.097,,-105.36498041,38.96875442,2407.071,Global,0.01,0.011,0.01,0.015,1.734,m,FIX,RTK,2025-07-11 11:03:04.0 UTC-06:00,2025-07-11 11:03:07.0 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,76.913,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313371.488000001,468382.854,2417.7470000000003,POINT Z (468382.854 4313371.488000001 2417.7470000000003)
42,42,43,,468381.583,4313372.698,2421.073,,-105.36498252,38.96875556,2407.047,Global,0.015,0.011,0.01,0.018,1.734,m,FIX,RTK,2025-07-11 11:03:18.2 UTC-06:00,2025-07-11 11:03:21.2 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,77.099,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313371.615,468382.671,2417.723,POINT Z (468382.671 4313371.615 2417.723)
43,43,44,,468381.394,4313372.764,2421.089,,-105.36498471,38.96875615,2407.063,Global,0.017,0.011,0.01,0.02,1.734,m,FIX,RTK,2025-07-11 11:03:34.0 UTC-06:00,2025-07-11 11:03:37.0 UTC-06:00,16,1.2,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,77.225,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,5,8,6,0,4313371.681000001,468382.48199999996,2417.739,POINT Z (468382.48199999996 4313371.681000001 2417.739)
44,44,45,,468381.305,4313372.9,2420.995,,-105.36498574,38.96875737,2406.969,Global,0.01,0.011,0.014,0.015,1.734,m,FIX,RTK,2025-07-11 11:10:19.4 UTC-06:00,2025-07-11 11:10:22.4 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,77.383,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,9,6,0,4313371.817000001,468382.393,2417.645,POINT Z (468382.393 4313371.817000001 2417.645)
45,45,46,,468381.153,4313372.968,2420.976,,-105.36498751,38.96875798,2406.949,Global,0.011,0.01,0.011,0.015,1.734,m,FIX,RTK,2025-07-11 11:10:41.2 UTC-06:00,2025-07-11 11:10:44.2 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,77.493,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,9,6,0,4313371.885000001,468382.241,2417.626,POINT Z (468382.241 4313371.885000001 2417.626)
46,46,47,,468381.032,4313373.098,2420.97,,-105.36498891,38.96875914,2406.944,Global,0.011,0.011,0.01,0.016,1.734,m,FIX,RTK,2025-07-11 11:11:02.4 UTC-06:00,2025-07-11 11:11:05.4 UTC-06:00,16,1.1,1.3,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,77.671,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,9,6,0,4313372.015000001,468382.12,2417.62,POINT Z (468382.12 4313372.015000001 2417.62)
47,47,48,,468380.791,4313373.139,2420.951,,-105.36499169,38.96875951,2406.924,Global,0.01,0.011,0.01,0.015,1.734,m,FIX,RTK,2025-07-11 11:11:18.8 UTC-06:00,2025-07-11 11:11:21.8 UTC-06:00,16,1.2,1.4,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,77.79,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,9,5,0,4313372.056000001,468381.879,2417.601,POINT Z (468381.879 4313372.056000001 2417.601)
48,48,49,,468380.575,4313373.229,2420.905,,-105.36499418,38.96876031,2406.879,Global,0.015,0.012,0.01,0.019,1.734,m,FIX,RTK,2025-07-11 11:11:36.6 UTC-06:00,2025-07-11 11:11:39.6 UTC-06:00,16,1.2,1.4,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,77.938,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,9,5,0,4313372.146000001,468381.663,2417.5550000000003,POINT Z (468381.663 4313372.146000001 2417.5550000000003)
49,49,50,,468380.463,4313373.192,2420.908,,-105.36499547,38.96875997,2406.882,Global,0.011,0.015,0.01,0.019,1.734,m,FIX,RTK,2025-07-11 11:12:50.2 UTC-06:00,2025-07-11 11:12:53.2 UTC-06:00,16,1.2,1.4,468407.689,4313300.453,2428.563,-105.36467784,38.96810549,2414.536,77.953,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,7,5,9,5,0,4313372.109,468381.551,2417.558,POINT Z (468381.551 4313372.109 2417.558)
