Name,Code,Easting,Northing,OriginalElevation ,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,
45,,466246.129,4312196.711,2454.293,2434.293,,-105.3895743,38.95807881,2440.302,Global,0.014,0.018,0.01,0.023,1.934,m,FIX,2025-03-31 10:57:24.6 UTC-06:00,2025-03-31 10:57:27.6 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,152.889,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,8,6,0,
46,,466245.957,4312196.86,2454.255,2434.255,,-105.3895763,38.95808014,2440.264,Global,0.011,0.012,0.01,0.016,1.934,m,FIX,2025-03-31 10:57:40.6 UTC-06:00,2025-03-31 10:57:43.6 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,152.992,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,8,6,0,
47,,466245.832,4312197,2454.216,2434.216,,-105.3895777,38.9580814,2440.225,Global,0.011,0.011,0.01,0.015,1.934,m,FIX,2025-03-31 10:57:51.8 UTC-06:00,2025-03-31 10:57:54.8 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,153.121,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,8,6,0,
48,,466245.706,4312197.142,2454.202,2434.202,,-105.3895792,38.95808268,2440.211,Global,0.012,0.013,0.01,0.018,1.934,m,FIX,2025-03-31 10:58:02.0 UTC-06:00,2025-03-31 10:58:05.0 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,153.267,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,8,6,0,
49,,466245.552,4312197.241,2454.199,2434.199,,-105.389581,38.95808356,2440.208,Global,0.012,0.014,0.01,0.019,1.934,m,FIX,2025-03-31 10:58:10.4 UTC-06:00,2025-03-31 10:58:13.4 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,153.332,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,8,6,0,
50,,466245.328,4312197.35,2454.219,2434.219,,-105.3895835,38.95808453,2440.228,Global,0.016,0.017,0.01,0.023,1.934,m,FIX,2025-03-31 10:58:17.6 UTC-06:00,2025-03-31 10:58:20.6 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,153.423,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,8,6,0,
51,,466245.274,4312197.618,2454.226,2434.226,,-105.3895842,38.95808694,2440.235,Global,0.012,0.012,0.01,0.017,1.934,m,FIX,2025-03-31 10:58:26.2 UTC-06:00,2025-03-31 10:58:29.2 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,153.689,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,8,6,0,
52,,466245.156,4312197.731,2454.223,2434.223,,-105.3895856,38.95808796,2440.233,Global,0.017,0.016,0.013,0.024,1.934,m,FIX,2025-03-31 10:58:34.4 UTC-06:00,2025-03-31 10:58:37.4 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,153.788,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,8,6,0,
53,,466245.109,4312197.945,2454.213,2434.213,,-105.3895861,38.95808988,2440.222,Global,0.01,0.012,0.01,0.016,1.934,m,FIX,2025-03-31 10:58:44.0 UTC-06:00,2025-03-31 10:58:47.0 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,153.999,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
54,,466244.828,4312198.003,2454.228,2434.228,,-105.3895894,38.9580904,2440.237,Global,0.013,0.016,0.011,0.021,1.934,m,FIX,2025-03-31 10:58:52.6 UTC-06:00,2025-03-31 10:58:55.6 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,154.004,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,8,6,8,6,0,
55,,466244.668,4312198.032,2454.222,2434.222,,-105.3895912,38.95809065,2440.232,Global,0.018,0.016,0.015,0.024,1.934,m,FIX,2025-03-31 10:59:03.2 UTC-06:00,2025-03-31 10:59:06.2 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,154.025,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,8,6,0,
56,,466244.448,4312198.22,2454.189,2434.189,,-105.3895937,38.95809234,2440.199,Global,0.011,0.011,0.011,0.016,1.934,m,FIX,2025-03-31 10:59:26.0 UTC-06:00,2025-03-31 10:59:29.0 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,154.193,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,8,7,0,
57,,466244.391,4312198.319,2454.155,2434.155,,-105.3895944,38.95809323,2440.164,Global,0.016,0.015,0.011,0.022,1.934,m,FIX,2025-03-31 10:59:37.0 UTC-06:00,2025-03-31 10:59:40.0 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,154.302,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,8,6,0,
58,,466244.344,4312198.598,2454.083,2434.083,,-105.389595,38.95809574,2440.093,Global,0.011,0.012,0.01,0.016,1.934,m,FIX,2025-03-31 10:59:45.6 UTC-06:00,2025-03-31 10:59:48.6 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,154.572,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,8,6,0,
59,,466244.251,4312198.85,2454.034,2434.034,,-105.3895961,38.95809801,2440.043,Global,0.011,0.011,0.01,0.015,1.934,m,FIX,2025-03-31 10:59:57.2 UTC-06:00,2025-03-31 11:00:00.2 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,154.821,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,8,6,0,
60,,466244.105,4312198.947,2453.976,2433.976,,-105.3895977,38.95809887,2439.985,Global,0.011,0.011,0.01,0.016,1.934,m,FIX,2025-03-31 11:00:07.8 UTC-06:00,2025-03-31 11:00:10.8 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,154.908,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,8,6,0,
61,,466244.007,4312199.185,2453.962,2433.962,,-105.3895989,38.95810101,2439.971,Global,0.011,0.011,0.01,0.015,1.934,m,FIX,2025-03-31 11:00:16.2 UTC-06:00,2025-03-31 11:00:19.2 UTC-06:00,16,1.1,1.3,466230.063,4312045.505,2470.689,-105.3897522,38.95671563,2456.697,155.142,,NAD83(2011) / UTM zone 13N + NAVD88(GEOID18) height,9,6,8,6,0,
